variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags
mangoes,mango,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False
amchoor,mango,drying,powder,taste profile / spice,NULL,NULL,acidity regulator,0.42,0.42,0.18,0.42,0.42,0.86,0.324,0.596,2,False,False
millets,millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
menthol,mint,solvent extraction,extract/oleoresin,flavouring agent,NULL,crystalline chemical,taste profile / spice,0.82,0.86,0.675,0.82,0.98,0.675,0.774,0.81,3,False,False
paprika,paprika,drying,powder,colour,NULL,NULL,taste profile / spice,0.42,0.42,0.8,0.42,0.42,0.8,0.572,0.572,2,False,False
raisins,grape,drying,whole/fresh pieces,sweetener,NULL,NULL,flavouring agent,0.42,0.05,0.625,0.42,0.05,0.675,0.391,0.411,2,False,False
til oil,sesame,NULL,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
soynuts,soybean,roasting,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0.58,0.05,0.12,0.58,0.05,0.12,0.237,0.237,1,False,False
sucrose,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
jaggery,sugarcane | palm,NULL,dense block,sweetener,refining,granules,base ingredient,0,0.38,0.625,0.75,0.8,0.625,0.364,0.715,2,True,False
glucose,corn | tapioca,NULL,crystalline chemical,sweetener,?hydrolysis,NULL,base ingredient,0,0.98,0.625,0.6,0.98,0.625,0.544,0.724,2,True,True
vinegar,sugarcane,fermentation,juice,flavouring agent,acetylation,NULL,acidity regulator,0.56,0.5,0.675,0.94,0.5,0.86,0.588,0.776,2,True,False
almonds,almond,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False
mandeln,almond,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False
tumeric,turmeric,NULL,powder,taste profile / spice,drying,rhizome,flavouring agent,0,0.42,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
saffron,saffron,drying,whole/fresh pieces,taste profile / spice,NULL,powder,colour,0.42,0.05,0.18,0.42,0.42,0.8,0.213,0.572,1,True,False
om seed,ajwain,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
aniseed,anise,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
apricot,apricot,NULL,whole/fresh pieces,base ingredient,drying,cut/sliced pieces,sweetener,0,0.05,0.12,0.42,0.1,0.625,0.063,0.406,1,True,False
maricha,pepper,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
milkfat,milk,NULL,fat fraction,lipid base,churning|clarification,NULL,flavouring agent,0,0.72,0.22,0.55,0.72,0.675,0.304,0.651,2,False,False
cow fat,beef,NULL,fat fraction,lipid base,rendering,NULL,NULL,0,0.72,0.22,0,0.72,0.22,0.304,0.304,2,False,False
cabbage,cabbage,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
chicory,chicory,NULL,whole/fresh pieces,taste profile / spice,roasting,powder,flavouring agent,0,0.05,0.18,0.58,0.42,0.675,0.087,0.57,1,True,False
coconut,coconut,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,NULL,0,0.05,0.12,0,0.25,0.12,0.063,0.123,1,False,False
cow fat,beef,NULL,fat fraction,lipid base,rendering,NULL,NULL,0,0.72,0.22,0,0.72,0.22,0.304,0.304,2,False,False
yoghurt,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
dextrin,corn | tapioca,?hydrolysis,powder,thickener,NULL,NULL,bulking agent,0.6,0.42,0.615,0.6,0.42,0.615,0.552,0.552,2,False,True
ins 631,tapioca | sugarcane,?hydrolysis,crystalline chemical,flavouring agent,NULL,NULL,NULL,0.6,0.98,0.675,0.6,0.98,0.675,0.744,0.744,3,False,True
amylase,aspergillus oryzae | barley,?enzymatic reaction,powder,flour treatment agent,NULL,NULL,NULL,0,0.42,0.93,0,0.42,0.93,0.498,0.498,2,False,True
beeswax,beeswax,NULL,dense block,thickener,NULL,NULL,emulsifier,0,0.38,0.615,0,0.38,0.825,0.36,0.444,2,False,False
kalonji,nigella seed,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
lactose,milk,NULL,crystalline chemical,sweetener,NULL,NULL,NULL,0,0.98,0.625,0,0.98,0.625,0.544,0.544,2,False,False
lentils,lentil,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
mulethi,licorice,NULL,whole/fresh pieces,taste profile / spice,drying,powder,sweetener,0,0.05,0.18,0.42,0.42,0.625,0.087,0.502,1,True,False
pippali,long pepper,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
menthol,mint,extract/oleoresin,crystalline chemical,taste profile / spice,NULL,extract/oleoresin,flavouring agent,0,0.98,0.18,0,0.98,0.675,0.366,0.564,2,False,False
moringa,moringa,NULL,whole/fresh pieces,base ingredient,drying,powder,NULL,0,0.05,0.12,0.42,0.42,0.12,0.063,0.3,1,True,False
shitake,mushroom,NULL,whole/fresh pieces,base ingredient,drying,cut/sliced pieces,NULL,0,0.05,0.12,0.42,0.1,0.12,0.063,0.204,1,False,False
shitaki,mushroom,NULL,whole/fresh pieces,base ingredient,drying,cut/sliced pieces,NULL,0,0.05,0.12,0.42,0.1,0.12,0.063,0.204,1,False,False
mustard,mustard,NULL,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False
shallot,shallot,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
oregano,oregano,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
parsley,parsley,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces,flavouring agent,0,0.05,0.18,0.42,0.1,0.675,0.087,0.426,1,True,False
soybean,soybean,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
spinach,spinach,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
anistar,star anise,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
tapioca,tapioca,NULL,whole/fresh pieces,base ingredient,NULL,starch flour,thickener,0,0.05,0.12,0,0.6,0.615,0.063,0.426,1,True,False
taurine,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
thiamin,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
trifala,amla | haritaki | bibhitaki,NULL,powder,NULL,drying,NULL,NULL,0,0.42,0,0.42,0.42,0,0.126,0.252,1,False,False
vannila,vanilla,extract/oleoresin,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
vit. d2,yeast,NULL,powder,NULL,NULL,NULL,NULL,0,0.42,0,0,0.42,0,0.126,0.126,1,False,False
alcohol,sugarcane | molasses,fermentation,juice,NULL,distillation,NULL,NULL,0.56,0.5,0,0.56,0.5,0,0.318,0.318,2,False,False
ammonia,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,raising agent,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
lactase,yeast,?enzymatic reaction,powder,flour treatment agent,NULL,NULL,NULL,0,0.42,0.93,0,0.42,0.93,0.498,0.498,2,False,True
leucine,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
catechu,acacia catechu,NULL,extract/oleoresin,taste profile / spice,extract/oleoresin,NULL,flavouring agent,0,0.86,0.18,0,0.86,0.675,0.33,0.528,2,False,False
cucumis,cucumber,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
isabgol,psyllium,NULL,whole/fresh pieces,thickener,NULL,powder,bulking agent,0,0.05,0.615,0,0.42,0.615,0.261,0.372,1,True,False
fox nut,fox nut,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
foxnuts,fox nut,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
gongura,gongura,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,acidity regulator,0,0.05,0.12,0,0.1,0.86,0.063,0.374,1,True,False
isomalt,sugarcane,NULL,crystalline chemical,sweetener,refining|?hydrogenation,NULL,bulking agent,0,0.98,0.625,0.92,0.98,0.625,0.544,0.82,2,True,True
pumpkin,pumpkin,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,NULL,0,0.05,0.12,0,0.25,0.12,0.063,0.123,1,False,False
nannari,sarsaparilla,NULL,extract/oleoresin,flavouring agent,extract/oleoresin,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
ins 941,synthetic,NULL,propellant,propellant,NULL,NULL,packaging gas,0,0,0.95,0,0,0.95,0.38,0.38,2,False,False
ins 999,quillaja saponaria,solvent extraction,extract/oleoresin,emulsifier,NULL,emulsifier powder,foaming agent,0.82,0.86,0.825,0.82,0.89,0.825,0.834,0.843,3,False,False
xylitol,birch,?hydrolysis,crystalline chemical,sweetener,NULL,NULL,humectant,0.6,0.98,0.625,0.6,0.98,0.625,0.724,0.724,3,False,True
yoghurt,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
palm oil,palm,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
paim oil,palm,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
palm fat,palm,NULL,fat fraction,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.72,0.22,0.82,0.72,0.22,0.304,0.55,2,False,False
sea salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
yellow 6,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
corn oil,corn,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
costarch,corn,NULL,starch flour,thickener,NULL,modified starch powder,base ingredient,0,0.6,0.615,0,0.96,0.615,0.426,0.534,2,False,False
hazelnut,hazelnut,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False
milk snf,milk,NULL,powder,base ingredient,NULL,concentrate,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False
soy nuts,soybean,roasting,NULL,base ingredient,NULL,NULL,NULL,0.58,0,0.12,0.58,0,0.12,0.222,0.222,1,False,False
soyabean,soybean,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
soybeans,soybean,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
sharkara,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
dextrose,corn | tapioca,NULL,crystalline chemical,sweetener,hydrolysis,NULL,NULL,0,0.98,0.625,0.6,0.98,0.625,0.544,0.724,2,True,False
fructose,corn,NULL,crystalline chemical,sweetener,hydrolysis,NULL,NULL,0,0.98,0.625,0.6,0.98,0.625,0.544,0.724,2,True,False
levulose,corn,NULL,crystalline chemical,sweetener,hydrolysis,NULL,NULL,0,0.98,0.625,0.6,0.98,0.625,0.544,0.724,2,True,False
urad dal,urad dal,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
turmeric,turmeric,NULL,rhizome,taste profile / spice,drying,powder,flavouring agent|colour,0,0,0.18,0.42,0.42,0.8,0.072,0.572,1,True,False
maltitol,corn | wheat,NULL,crystalline chemical,sweetener|bulking agent,hydrogenation,NULL,humectant,0,0.98,0.625,0.92,0.98,0.625,0.544,0.82,2,True,False
cow milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False
raw milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False
cultures,lactobacillus | streptococcus,fermentation,NULL,NULL,NULL,powder,preservative,0.56,0,0,0.56,0.42,0.885,0.168,0.648,1,True,False
allspice,allspice,NULL,NULL,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
bay leaf,bay laurel,NULL,leaf,taste profile / spice,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.18,0.42,0.1,0.675,0.072,0.426,1,True,False
gram dal,chickpea,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
d-biotin,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
thippili,thippili,NULL,NULL,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
milk fat,milk,churning,fat fraction,lipid base,clarification,NULL,flavouring agent,0.45,0.72,0.22,0.55,0.72,0.675,0.439,0.651,2,False,False
chillies,chilli,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
cinnamon,cinnamon,NULL,bark,taste profile / spice,drying,powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
cinnamom,cinnamon,NULL,bark,taste profile / spice,drying,powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
cow milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False
cake gel,palm | soybean | sunflower,NULL,NULL,emulsifier|stabiliser,NULL,gelling agent,gelling agent,0,0,0.825,0,0,0.825,0.33,0.33,2,False,False
glycerin,palm | soybean | rapeseed,NULL,NULL,humectant,?glycerolysis,NULL,NULL,0,0,0.425,0,0,0.425,0.17,0.17,1,False,True
cardamom,cardamom,NULL,NULL,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
moongdal,mung bean,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
guar gum,guar,NULL,gum,thickener,NULL,powder,stabiliser,0,0,0.615,0,0.42,0.65,0.246,0.386,1,True,False
hibiscus,hibiscus,NULL,flower,colour,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.8,0.42,0.1,0.8,0.32,0.476,2,False,False
inositol,corn,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
lecithin,soybean | sunflower,solvent extraction,emulsifier powder,emulsifier,NULL,NULL,NULL,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False
lycopene,tomato,solvent extraction,extract/oleoresin,colour,NULL,NULL,antioxidant,0.82,0.86,0.8,0.82,0.86,0.875,0.824,0.854,3,False,False
molasses,sugarcane,NULL,concentrate,sweetener,NULL,syrup,flavouring agent,0,0.4,0.625,0,0.4,0.675,0.37,0.39,2,False,False
navsadar,synthetic,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False
toor dal,pigeon pea,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
potatoes,potato,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
rosemary,rosemary,NULL,leaf,taste profile / spice,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.18,0.42,0.1,0.675,0.072,0.426,1,True,False
semolina,wheat,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False
sesbania,sesbania,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
ins 420i,sorbitol,corn|tapioca,NULL,crystalline chemical,NULL,hydrogenation,NULL,0,0,0,0,0,0,0,0,1,False,False
sulphite,mineral,NULL,crystalline chemical,preservative,NULL,NULL,antioxidant,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False
tamarind,tamarind,NULL,pulp/puree,flavouring agent,NULL,NULL,acidity regulator,0,0.25,0.675,0,0.25,0.86,0.345,0.419,2,False,False
tartaric,grape,NULL,crystalline chemical,acidity regulator,NULL,NULL,antioxidant,0,0.98,0.86,0,0.98,0.875,0.638,0.644,2,False,False
tomatoes,tomato,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces|pulp/puree,NULL,0,0.05,0.12,0,0.25,0.12,0.063,0.123,1,False,False
vanillin,synthetic,synthetic vanillin,crystalline chemical,flavouring agent,NULL,NULL,taste profile / spice,0.98,0.98,0.675,0.98,0.98,0.675,0.858,0.858,3,False,False
ro water,water,NULL,juice,base ingredient,NULL,NULL,NULL,0,0.5,0.12,0,0.5,0.12,0.198,0.198,1,False,False
arginine,sugarcane,fermentation,crystalline chemical,NULL,NULL,NULL,NULL,0.56,0.98,0,0.56,0.98,0,0.462,0.462,2,False,False
betelnut,areca palm,NULL,nut,taste profile / spice,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.18,0.42,0.1,0.675,0.072,0.426,1,True,False
cherries,cherry,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,sweetener,0,0.05,0.12,0,0.1,0.625,0.063,0.28,1,False,False
chloride,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
digezyme,aspergillus oryzae,fermentation,powder,NULL,NULL,NULL,NULL,0.56,0.42,0,0.56,0.42,0,0.294,0.294,1,False,False
protease,aspergillus oryzae | bacillus subtilis,fermentation,powder,flour treatment agent,NULL,NULL,NULL,0.56,0.42,0.93,0.56,0.42,0.93,0.666,0.666,2,False,False
fox nuts,fox nut,NULL,NULL,base ingredient,NULL,whole/fresh pieces,NULL,0,0,0.12,0,0.05,0.12,0.048,0.063,1,False,False
gum base,chicle,NULL,gum,base ingredient,NULL,dense block,NULL,0,0,0.12,0,0.38,0.12,0.048,0.162,1,False,False
haritaki,haritaki,NULL,fruit,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
jalapeno,jalapeno,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
khorasan,khorasan wheat,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
l-lysine,sugarcane,fermentation,crystalline chemical,NULL,NULL,NULL,NULL,0.56,0.98,0,0.56,0.98,0,0.462,0.462,2,False,False
mulberry,mulberry,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False
nitrogen,synthetic,NULL,NULL,propellant,NULL,NULL,packaging gas,0,0,0.95,0,0,0.95,0.38,0.38,2,False,False
vallarai,brahmi,NULL,leaf,taste profile / spice,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.18,0.42,0.1,0.675,0.072,0.426,1,True,False
xylanase,aspergillus niger,fermentation,powder,flour treatment agent,NULL,NULL,NULL,0.56,0.42,0.93,0.56,0.42,0.93,0.666,0.666,2,False,False
palmolein,palm,fractionation,oil,lipid base,refining,NULL,NULL,0.76,0.7,0.22,0.76,0.7,0.22,0.526,0.526,2,False,False
palmolien,palm,fractionation,oil,lipid base,refining,NULL,NULL,0.76,0.7,0.22,0.76,0.7,0.22,0.526,0.526,2,False,False
vanaspati,palm | soybean | groundnut,hydrogenation|interesterification,fat fraction,lipid base,refining,NULL,NULL,0.92,0.72,0.22,0.92,0.72,0.22,0.58,0.58,2,False,False
kalanamak,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,taste profile / spice,0,0.98,0.12,0,0.98,0.18,0.342,0.366,2,False,False
rock salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,taste profile / spice,0,0.98,0.12,0,0.98,0.18,0.342,0.366,2,False,False
cornflour,corn,milling,starch flour,base ingredient,NULL,flour/fine powder,thickener,0.28,0.6,0.12,0.28,0.6,0.615,0.312,0.51,2,False,False
hazelnuts,hazelnut,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
magnesium,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
dry mango,mango,drying,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,sweetener,0.42,0.05,0.12,0.42,0.1,0.625,0.189,0.406,1,True,False
raw mango,mango,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,acidity regulator,0,0.05,0.12,0,0.1,0.86,0.063,0.374,1,True,False
mint oils,mint,solvent extraction,essential oil,flavouring agent,NULL,extract/oleoresin,taste profile / spice,0.82,0.9,0.675,0.82,0.9,0.675,0.786,0.786,3,False,False
pistachio,pistachio,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
soya grit,soybean,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False
soyabeans,soybean,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
soya four,soybean,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
khandsari,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
sugarcane,sugarcane,NULL,whole/fresh pieces,base ingredient,NULL,juice,sweetener,0,0.05,0.12,0,0.5,0.625,0.063,0.4,1,True,False
